name,description,key_skills,department,salary_from,salary_to,area.name,published_at
Менеджер по маркетплейсам,"Управление ассортиментом: ввод-вывод, мониторинг рынка. Работа с контентом на увеличение рейтинга карточки товара, работа с ключевыми запросами. ","Иметь опыт работы с маркетплейсам WB, OZON, ЯМ. Умеете анализировать продажи и делать выводы из полученных данных. Умеете работать с...",,25000,50000,Воронеж,2022-12-20T01:03:12+0300
Дизайнер интерьеров,"Разработка планировки и зонирования. Оформление общей и детальных концепций интерьера. Проработка детального дизайна. Составление коллажей, мудбордов, прорисовка скетчей. ","Среднее или высшее образование по профессии дизайнер интерьеров. Опыт работы от 1-3 лет. Знание графических программ (Photoshop, Corel Draw...",,50000,100000,Хабаровск,2022-12-20T01:09:01+0300
Специалист технической поддержки,"Общение с клиентами и помощь в решении проблем. Воспроизведение проблемы и дальнейшая передача в отдел разработки. Взаимодействовать с командой, быстро...","Грамотно поставленная речь. Умение писать по-русски без ошибок. Умение общаться с людьми, отвечать на вопросы, помогать. Умение обучаться, в...",,30000,,Пушкино (Московская область),2022-12-20T01:09:00+0300
Администратор ИТ и ИТБ,"Обеспечение штатной работы компьютерной техники, сети и программного обеспечения.",Средне-профессиональное/высшее образование по профилю.,,45000,50000,Южно-Сахалинск,2022-12-20T01:50:00+0300
Менеджер по продажам ПО,Осуществление продажи программного обеспечения компании ФЬЮТИ АЙТИ ПРО. Поддержание и развитие клиентской базы. Выполнение плана продаж. Отслеживание дебиторской задолженности. ,Опыт работы в отделе продаж.,,35000,200000,Пушкино (Московская область),2022-12-20T01:09:06+0300
Оператор (аппаратчик) в цех приготовления продукции,"Контроль за работой приборов на предприятии. Обслуживание отдельных агрегатов и узлов. Текущий ремонт оборудования. Подача и смешивание различных веществ, контроль...",Среднее или средне-специальное(техническое) образование. Аккуратность. Отсутствие ограничений по здоровью.,,30000,40000,Елец,2022-12-20T01:09:01+0300
Системный администратор,Администрирование платформы виртуализации VMware (vSphere). - Администрирование и обслуживание физических серверов (ЦОД). - Администрирование и обслуживание СХД (систем хранения данных). - ,"Требования: Высшее специальное образование. Необходимые навыки: - Администрирование сетевой инфраструктуры, знание принципов маршрутизации и коммутации.",,60000,,Чита,2022-12-20T02:05:23+0300
Разработчик под iOS (Swift),Разработка программного обеспечения для iOS. Проведение Code Review. Участие в проектах на всех стадиях разработки (от проектирования до конечной реализации).,Опыт программирования на Swift или Objective-C от 2 лет. Опыт коммерческой разработки для мобильных устройств на базе iOS от...,,150000,230000,Санкт-Петербург,2022-12-20T02:56:50+0300
Специалист в области информационных технологий,"Предлагается несколько вакансий в центр информационных технологий, связи и защиты информации. Навыки (выборочно): -настройка системного программного обеспечения, установка драйверов, периферийного...",,,13000,30000,Благовещенск (Амурская область),2022-12-20T02:42:51+0300
Разработчик под Android (Kotlin),Разработка программного обеспечения для Android. Проведение Code Review. Участие в проектах федерального масштаба на всех стадиях разработки (от проектирования до...,Опыт программирования на Kotlin или Java от 2 лет. Опыт коммерческой разработки для мобильных устройств на базе Android от 1...,,150000,300000,Санкт-Петербург,2022-12-20T02:57:09+0300
